kolind slobodn glup imas pametan telefon..poziv mlad ostan hrvatsk sin kcer briselu..,1
mol vjernic poslusa ministr slucaj bolest jav najbliz crkv rad guzv nevjernik ambulant hitn sluzb bolnic hva,1
zna nevjerojatn ci plastičn uda bic tajkun ci dan nist slika torb cijen skuplj ci ormar nevjerojatn vec hahah im djec radi 500 kn nema vremen fitnes id frizer godisnj namaz nokt lak 19 kn dm-a nema b.siteric kupuj majic 50kn dalj nabraja smatra bolj izgleda pun hahahah,2
vlad pomoć slušaj kraljic prv pomoz jadn hrvat nos id siln mladost politik slićn sirotinj od vra iseljenic kufer lov polapa uništit bankrotiraj snjim granic povućet mah otišl trbuh kruh dobar igrokaz smješan al tužan,1
ljutit susjed jos biser zen imat cem slicn vodje..presmijesn,1
konačn shvati vakul snijeg nagl pad temperatur bić kišovit vjetrovit kiš pada puš vjetar bić sunčan cijel hrvatsk oblac pojav sakrij sunc sklad daj mal doprinos utakmic hrvatsk ukrajin odgovorn tvrdi pobijedi ukrajin iznenad pobijed uzm bod p.,1
radi proklinja dan vrati aaa debilan,3
ce pomoc spakir kufer odlaz lijep nas ovrh 200kn dug izgubi jedin krov glav dugov par kun vlad nec pomoc ostan svedsk,1
gospodin im moždan udar brin oč zdrav marij zdrav dogodi '',3
jadn roditelj pruzis djetet zahva metkom.. prv kriv roditelj djec djec im roditelj buda netreb zali djec treb goni rad rad rad,2
nema nist cur vol al misli jeben iskompleksiran slik stavlj net dokazala/pokaza ocit im potreb govor super utjesi red debe debe rijec izbjegava doticn vrijeda kaz debel al trudi covjec stavlja polugol slik net,2
dajt bosn jedin trenutk idem,2
make-up definitivn treb građevinsk dozvol,2
vlasnik životinj src žel životinj proživljava,2
jason statha bas ruznjikav sakrijes dom pustas,2
stvarn pretjera komentar žen lijep intilegentn predsjednic drzav živit sra mor izbor suzdrži zlob bezobrazluk,3
prekrasan mladić fin kaž susjed pogleg profi jasan intelektualn domet ubojic odgaja neb dogodi profi mržnj prkos revolt mercedez benz 19 promašen odg pun mračn susjed zemlj zakon,3
tešk bullshit krav kokoš ravna sucn pogleda sat tolk sat osta idiotarij biorita budalaštin loč cijel noć spava par sat nem vez pomakn sat vur tešk problem,2
definitivn razmislja cu posa im strasn obiln menstruacij mora ponijet rezervn hlac rublj nasa situacij razumij bolov nosi odlicn navikl obilnost mog izbjec,2
komentar mjest djec okus hrvatsk stvarnost pametuj svijet,1
izjav ministr zdravstv bož precizan,1
znac cu trendu.d klosar. ce oblaci majic guns nirvan ac/dc zna pjesm bend vrst glazbe.n majic ac/dc uš cajka..d fuck off,2
riječ mozak nema gafov,2
zvuča bezosjećajn zna mog žali obitelj preteć trulog američk kapitalizm,1
kreten stran bivs jug cudn idem vec nazaduj,3
šveđan drag sluša hrvatsk treb spasi par prebaci zemlj hladn raj zemlj bajn kontejner prazn čeka pust ulic doziva ovrh blokad nov žrtv švedsk lov vraca čeka par ajm dajt plenk hanž zdrav dijaspor put prav ce balerin reć vlad usreć sprema porez nov stanov kuć ko ora lov ce nekretnin siln karton ulic kontejner gin,3
andj mestrovic ljubomoran masonsk triateralk kriminalk izdajnic prodaj `` domoljublj '' naivc skup kriminalnm organizacij kradezeom..pita pjesm najbolj krad drzav narod rec ce `` boz cuva hrvatsk '' ..,3
juncker balkan ratova dvorišt pizd materin masonsk,3
"hrvatsk treba dobi 300 000 novi radn mjest ,a borben avion",1
zna list sastavlja naveden trojic tip vincent casell jay jay prednjač kategorij `` ružnjikav '' kriterij strpa osta zna robert downey jason statha ružnjikav im ljepš fac hrvatsk glumc skup treb govoriti- mušk christopher melon prekrasn očima..p mož ružnjikav alkoholn ludi misli pisa muškarc razlikuj boj oblik,2
1. apri shvat šal,2
bolj prizor tuk .zivi ljubav sex,2
tjedn počinj razvija domoljublj,3
